
Creation Date,Purchase Date,Fiscal Year,LPA Number,Purchase Order Number,Requisition Number,Acquisition Type,Sub-Acquisition Type,Acquisition Method,Sub-Acquisition Method,Department Name,Supplier Code,Supplier Name,Supplier Qualifications,Supplier Zip Code,CalCard,Item Name,Item Description,Quantity,Unit Price,Total Price,Classification Codes,Normalized UNSPSC,Commodity Title,Class,Class Title,Family,Family Title,Segment,Segment Title,Location
07/03/2012,,2012-2013,SBP01337,REQ0008912,REQ0008912,NON-IT Goods,,WSCA/Coop,,"Consumer Affairs, Department of",1758289,VWR International,,,NO,63008-990: TUBE TYGN R3603 1/2X11/16 100',63008-990: TUBE TYGN R3603 1/2X11/16 100',1,$203.10,$203.10,,,,,,,,,,
07/03/2012,,2012-2013,SBP01337,REQ0008912,REQ0008912,NON-IT Goods,,WSCA/Coop,,"Consumer Affairs, Department of",1758289,VWR International,,,NO,63013-404: TUBING 180 VAC 1/4X5/8 50 FT PK,63013-404: TUBING 180 VAC 1/4X5/8 50 FT PK,1,$151.56,$151.56,,,,,,,,,,
09/05/2012,08/31/2012,2012-2013,,4500149558,,NON-IT Goods,,Formal Competitive,,"Corrections and Rehabilitation, Department of",48199,Fresno Produce Inc.,CA-SB,93706,NO,JALAPENO,JALAPENO,40,$0.60,$24.00,50405625,50405625,Jalapeno peppers,50405600,Peppers,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,"93706
(36.675079, -119.865393)"
10/18/2012,10/18/2012,2012-2013,,4500156192,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1327540,PETER GIAMMANCO,CA-MB CA-SB,91360,NO,produce,"red apples, banana,",1,$12587.05,$12587.05,50301541,50301541,Ida red apples,50301500,Apples,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products,"91360
(34.210392, -118.874313)"
10/17/2012,10/17/2012,2012-2013,,4500156124,,NON-IT Goods,,Fair and Reasonable,,Correctional Health Care Services,45803,OSHA Review Inc,CA-MB CA-SB,95827,NO,magazine,magazine,1,$199.00,$199.00,55101506,55101506,Magazines,55101500,Printed publications,55100000,Printed media,55000000,Published Products,"95827
(38.563097, -121.328511)"
10/30/2012,10/24/2012,2012-2013,,S2556056,,NON-IT Goods,,Informal Competitive,,"Parks & Recreation, Department of",1746707,Agco Hay LLC,,,NO,hay,Bale's of rice straw,1000,$4.95,$4950.00,10121505,10121505,Hay,10121500,Livestock feed,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies,
11/14/2012,11/14/2012,2012-2013,,4500159228,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1065902,Prison Industry Authority,,95696,NO,COFFEE,INSTANT COFFEE AND BULK,14686.5,$1.00,$14686.50,50201706,50201706,Coffee,50201700,Coffee and tea,50200000,Beverages,50000000,Food Beverage and Tobacco Products,"95696
(38.43, -122.02)"
11/27/2012,11/27/2012,2012-2013,,4500160629,,NON-IT Goods,,State Programs,,"Corrections and Rehabilitation, Department of",1008361,3B INDUSTRIES INC,,73529,NO,furniture,furniture,1,$214788.00,$214788.00,56101532,56101532,Furniture set,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings,"73529
(34.361458, -97.971748)"
11/30/2012,06/15/2012,2012-2013,,11OAL07,,NON-IT Goods,,NCB,,"Administrative Law, Office of",1001493,Lexis Nexis,,95833,NO,Library Subscriptions,Library Subscriptions,1,$5000.00,$5000.00,55101524,55101524,Reference books,55101500,Printed publications,55100000,Printed media,55000000,Published Products,"95833
(38.615723, -121.50562)"
11/25/2013,11/22/2013,2013-2014,,DSC13057,,NON-IT Goods,,Fair and Reasonable,,Delta Stewardship Council,1738091,California Chamber of Commerce,,95834,YES,2014 Employment Notice Posters,Laminated with Protect-English,1,$113.98,$113.98,55121736,55121736,,,,,,,,"95834
(38.641743, -121.516646)"
05/14/2014,05/14/2014,2013-2014,,W0000828,,NON-IT Goods,,Fair and Reasonable,,"Veterans Affairs, Department of",47767,"A&M Uniforms, Inc.",CA-MB CA-SB,91789,NO,uniforms,uniforms,1,$3593.00,$3593.00,53102708,53102708,Nurses uniforms,53102700,Uniforms,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products,"91789
(34.019668, -117.856008)"
05/25/2013,,2012-2013,1-11-70-04G,REQ0010374,REQ0010374,IT Goods,,Statewide Contract,,"Consumer Affairs, Department of",1017216,GRANITE DATA SOLUTIONS,,95610,NO,"18,000 Page Yellow Toner Cartridge","18,000 Page Yellow Toner Cartridge",1,$230.29,$230.29,,,,,,,,,,"95610
(38.69507, -121.271144)"
06/24/2013,,2012-2013,,REQ0010633,REQ0010633,IT Goods,,Services are specifically exempt by policy,,"Consumer Affairs, Department of",1613860,"Ikon Office Solutions, Inc., A Ricoh Company",,95670,NO,"Image Software, CDQUERY","Imageing Software, CDQUERY",1,$210.00,$210.00,,,,,,,,,,"95670
(38.603182, -121.278912)"
06/23/2013,07/01/2013,2012-2013,5-08-89-15,4500187456,,NON-IT Goods,,Statewide Contract,,"Corrections and Rehabilitation, Department of",1000709,US FOODSERVICE,,,NO,food,fire food for camp inmates,1,$15000.00,$15000.00,50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,
10/03/2013,,2013-2014,1-11-70-04K,REQ0011123,,IT Goods,,Statewide Contract,,"Consumer Affairs, Department of",13274,Western Blue Corporation,WBE,95827,NO,"Toner Cartridge, 25,000 Page Yield","Toner Cartridge, 25,000 Page Yield",6,$50.73,$304.38,,,,,,,,,,"95827
(38.563097, -121.328511)"
09/30/2013,09/30/2013,2013-2014,,POE32191,,NON-IT Goods,,State Programs,Prison Industry Authority (PIA),"Fish and Wildlife, Department of",1065902,Prison Industry Authority,,95696,NO,Hunter Education Binders,Hunter Education Binders,1,$6415.00,$6415.00,44122037,44122037,,,,,,,,"95696
(38.43, -122.02)"
11/15/2012,11/15/2012,2012-2013,,565D2005,,NON-IT Goods,,State Programs,Prison Industry Authority (PIA),"Highway Patrol, California",1065902,Prison Industry Authority,,95696,NO,FURNITURE,FURNITURE,4,$351.00,$1404.00,56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings,"95696
(38.43, -122.02)"
06/10/2014,06/10/2014,2013-2014,,4500237320,,NON-IT Goods,,Informal Competitive,,Correctional Health Care Services,1114862,Xpedx,,95814,NO,Paper,Paper,1,$13344.00,$13344.00,14111507,14111507,Printer or copier paper,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products,"95814
(38.580427, -121.494396)"
06/29/2013,07/01/2013,2012-2013,5-08-89-15,4500188538,,NON-IT Goods,,Statewide Contract,,"Corrections and Rehabilitation, Department of",1000709,US FOODSERVICE,,,NO,food,rations food for camp inmates,1,$20000.00,$20000.00,50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,
05/06/2014,05/06/2014,2013-2014,1-11-87-17C,235,,NON-IT Goods,,Statewide Contract,,"Fish and Wildlife, Department of",1752282,"Nelson & Sons, Inc",,,NO,FISH FOOD,2.5MM CLASSIC FRY,6000,$0.57,$3420.00,10121703,10121703,Fish food flakes,10121700,Fish food,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies,
12/03/2012,12/03/2012,2012-2013,,4500161419,,NON-IT Goods,,State Programs,Prison Industry Authority (PIA),Correctional Health Care Services,1065902,Prison Industry Authority,,95696,NO,Chair,Chair,4,$359.00,$1436.00,56101522,56101522,Arm chair,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings,"95696
(38.43, -122.02)"
12/28/2012,12/27/2012,2012-2013,1-07-97-32,9.9111300107e+011,,NON-IT Goods,,Statewide Contract,,"Transportation, Department of",1028377,Zumar Industries,,95444,NO,traffic sign,traffic sign,1,$9518.47,$9518.47,55121710,55121710,Traffic signs,55121700,Signage,55120000,Signage and accessories,55000000,Published Products,"95444
(38.432805, -122.865868)"
12/14/2012,12/12/2012,2012-2013,,SA12 9007,,NON-IT Services,Personal Services,Fair and Reasonable,,Air Resources Board,1740264,San Gabriel Valley Tribune,,,NO,Newspaper Ad,Newspaper Ad,1,$129.44,$129.44,82101504,82101504,Newspaper advertising,82101500,Print advertising,82100000,Advertising,82000000,Editorial and Design and Graphic and Fine Art Services,
12/19/2012,12/20/2012,2012-2013,,2012-0610,,NON-IT Goods,,SB/DVBE Option,,"Equalization, Board of",1378200,"American Commodities, AWOB",CA-MB CA-SB,95648,NO,Paper,Paper,1,$13372.38,$13372.38,14111507,14111507,Printer or copier paper,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products,"95648
(38.900529, -121.296946)"
01/25/2013,07/17/2012,2012-2013,,12-506-0054,,NON-IT Goods,,Informal Competitive,,"State Hospitals, Department of",12205,"Superior Produce, Inc.",CA-SB,95811,NO,"ONIONS, RED  DICED","ONIONS, RED  DICED",180,$1.60,$288.00,50405312,50405312,Red onions,50405300,Onions,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,"95811
(38.581053, -121.488564)"
01/31/2013,01/31/2013,2012-2013,,1613000145,,NON-IT Goods,,SB/DVBE Option,,"Transportation, Department of",1553400,SIERRA SAFETY COMPANY,,95658,NO,SHEETING,SHEETING,1,$199172.20,$199172.20,55121734,55121734,Sign sheeting material,55121700,Signage,55120000,Signage and accessories,55000000,Published Products,"95658
(38.876154, -121.146865)"
01/16/2013,01/17/2013,2012-2013,,2012-0754,,NON-IT Goods,,Services are specifically exempt by policy,,"Equalization, Board of",1747193,Legislative Bill Room,,,NO,LBR,bill service and files,1,$4630.00,$4630.00,82121506,82121506,Publication printing,82121500,Printing,82120000,Reproduction services,82000000,Editorial and Design and Graphic and Fine Art Services,
01/23/2014,01/22/2014,2013-2014,,P3619BFD,,NON-IT Goods,,Fair and Reasonable,,"Conservation Corps, California",1000709,US FOODSERVICE,,,YES,Food,Food for Tahoe Center,1,$5275.61,$5275.61,50301599,50301599,,,,,,,,
02/06/2013,02/06/2013,2012-2013,5-08-89-15,4500169049,,NON-IT Goods,,Statewide Contract,,"Corrections and Rehabilitation, Department of",1000709,US FOODSERVICE,,,NO,food,rations food for camp inmates,1,$7570.78,$7570.78,50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,
02/12/2013,02/12/2013,2012-2013,5-08-89-15,4500169660,,NON-IT Goods,,Statewide Contract,,Correctional Health Care Services,1000709,US FOODSERVICE,,,NO,Fresh fruit/veg,Fresh fruit/veg,40000,$1.00,$40000.00,50301518,50301518,Delicious apples,50301500,Apples,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products,
02/02/2013,02/01/2013,2012-2013,5-08-89-15,4500168643,,NON-IT Goods,,Statewide Contract,,"Corrections and Rehabilitation, Department of",1000709,US FOODSERVICE,,,NO,food,food for inmates at camps,1,$7246.49,$7246.49,50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,
03/11/2013,03/11/2013,2012-2013,1-12-75-04,3168445,,NON-IT Goods,,Statewide Contract,,"General Services, Department of",1744915,Response Envelope,,,NO,WINDOW ENVELOPE,WINDOW ENVELOPE,1,$30260.00,$30260.00,44121504,44121504,Window envelopes,44121500,Mailing supplies,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,
03/18/2013,03/14/2013,2012-2013,,4500173937,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1019718,PRO PACIFIC FRESH,,95938,NO,broccoli,broccoli,1,$33000.00,$33000.00,50402001,50402001,Broccolini,50402000,Broccoli,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,"95938
(39.625514, -121.788667)"
03/14/2013,,2012-2013,,REQ0010002,REQ0010002,IT Goods,,SB/DVBE Option,,"Consumer Affairs, Department of",10742,CIRRUS ENVIRONMENTAL INC,CA-DVBE CA-SBE CDVBE,93456,NO,2GB 1066MHZ SGL RANK MOD,2GB 1066MHZ SGL RANK MOD,4,$14.20,$56.80,,,,,,,,,,"93456
(34.931438, -120.434824)"
03/20/2013,03/20/2013,2012-2013,,4500174452,,NON-IT Goods,,SB/DVBE Option,,"Corrections and Rehabilitation, Department of",11350,Seafood Dimensions Intn'l Inc.,CA-SB,92809,NO,*fish*,fish - cod,20220.8,$1.00,$20220.80,50121537,50121537,Frozen fish,50121500,Fish,50120000,Seafood,50000000,Food Beverage and Tobacco Products,"92809
(33.865826, -117.744572)"
03/28/2013,03/14/2012,2012-2013,,4500128383,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1065902,Prison Industry Authority,,95696,NO,MATTRESS,MATTRESS,1000,$50.50,$50500.00,56101508,56101508,Mattresses or sleep sets,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings,"95696
(38.43, -122.02)"
04/23/2013,04/23/2013,2012-2013,1-11-87-17C,293,,NON-IT Goods,,Statewide Contract,,"Fish and Wildlife, Department of",1752282,"Nelson & Sons, Inc",,,NO,fish food,4.5MM Trout,1,$13293.20,$13293.20,10121702,10121702,Fish food pellets,10121700,Fish food,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies,
04/13/2013,04/15/2013,2012-2013,,4500177246,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1006881,US Food Service,,94550,NO,MISC FOOD ITEMS,MISC FOOD ITEMS,1,$6448.08,$6448.08,50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,"94550
(37.617901, -121.711865)"
04/22/2013,,2012-2013,1-09-70-03C,REQ0010137,REQ0010137,IT Goods,,Statewide Contract,,"Consumer Affairs, Department of",1087660,Technology Integration Group,,95814,NO,5 YEAR MISSION CRITICAL,5 YEAR MISSION CRITICAL,2,$3569.15,$7138.30,,,,,,,,,,"95814
(38.580427, -121.494396)"
04/22/2013,04/22/2013,2012-2013,,61300000279,,NON-IT Goods,,State Programs,Prison Industry Authority (PIA),"Transportation, Department of",1065902,Prison Industry Authority,,95696,NO,CHAIRS,KENSINGTON MIDBACK CHAIRS,12,$347.00,$4164.00,56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings,"95696
(38.43, -122.02)"
04/12/2013,04/11/2013,2012-2013,,4500177062,,NON-IT Goods,,Fair and Reasonable,,Correctional Health Care Services,25415,Value Business Products,CA-MB CA-SB,95037,NO,Stamps,Stamps,7,$20.17,$141.19,44121604,44121604,Stamps,44121600,Desk supplies,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,"95037
(37.138729, -121.652852)"
04/08/2013,04/05/2013,2012-2013,SBP01336,W1226,,NON-IT Goods,,WSCA/Coop,,"Justice, Department of",1459140,Fisher Scientific LLC,,,NO,lab supply,Fuel Surecharge,1,$6.05,$6.05,83101605,83101605,Gas facility charge,83101600,Oil and gas utilities,83100000,Utilities,83000000,Public Utilities and Public Sector Related Services,
05/21/2013,05/21/2013,2012-2013,,P1201020,,NON-IT Goods,,Fair and Reasonable,,Franchise Tax Board,2319,Burkett's Office Supplies,CA-SB CA-SBE,95828,NO,chairs,chairs,1,$470.00,$470.00,56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings,"95828
(38.484836, -121.399547)"
05/23/2013,05/23/2013,2012-2013,,4500198175,,NON-IT Goods,,SB/DVBE Option,,"Water Resources, Department of",15228,THE PRIMARY SOURCE,CA-MB CA-SB,95742,NO,"PEN,MICRO,METAL ROLLING,GRN","PEN,MICRO,METAL ROLLING,GRN",24,$9.34,$224.16,44121704,44121704,Ball point pens,44121700,Writing instruments,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,"95742
(38.585855, -121.217204)"
05/17/2013,04/17/2013,2012-2013,,S2925176,,NON-IT Goods,,Informal Competitive,,"Parks & Recreation, Department of",23730,S & G Diversified Products,CA-SB,91709,NO,ROLLED TOILET PAPER,2 PLY ROLLED TOILET PAPER,600,$32.00,$19200.00,14111704,14111704,Toilet tissue,14111700,Personal paper products,14110000,Paper products,14000000,Paper Materials and Products,"91709
(33.972442, -117.726974)"
05/22/2013,05/01/2013,2012-2013,,3PA2C806G,,NON-IT Goods,,Formal Competitive,,"Forestry and Fire Protection, Department of",13935,Pinnacle Petroleum,,92648,NO,Fuel,Fuel,1,$7028.76,$7028.76,15101506,15101506,Gasoline or Petrol,15101500,Petroleum and distillates,15100000,Fuels,15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,"92648
(33.677244, -118.005046)"
05/22/2013,12/06/2012,2012-2013,,12-506-0193,,NON-IT Goods,,Informal Competitive,,"State Hospitals, Department of",1745491,CSV Sales Inc.,,,NO,"VEGETABLE, YELLOW WAX BEAN","VEGETABLE, YELLOW WAX BEAN",20,$42.50,$850.00,50401850,50401850,Wax beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,
05/28/2013,05/22/2013,2012-2013,,4500182023,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",32474,GEORGES AUTO DIESEL ELECTRIC,CA-MB CA-SB,95531,NO,socket rails,socket rails,4,$2.50,$10.00,27111703,27111703,Socket sets,27111700,Wrenches and drivers,27110000,Hand tools,27000000,Tools and General Machinery,"95531
(41.790231, -124.08619)"
05/22/2013,05/22/2013,2012-2013,,12560229,,NON-IT Goods,,Formal Competitive,,"State Hospitals, Department of",1019503,Air Treatment Corp,,95827,NO,Mechanical Seal,parts index item #27,2,$237.00,$474.00,31181604,31181604,Seal mechanical,31181600,Seals,31180000,Gaskets and seals,31000000,Manufacturing Components and Supplies,"95827
(38.563097, -121.328511)"
05/28/2013,05/03/2013,2012-2013,,4500179548,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1748286,COAST CITRUS DISTRIBUTORS,,,NO,LETTUCE SALAD MIX,LETTUCE SALAD MIX,462,$10.00,$4620.00,50404615,50404615,Iceberg lettuce,50404600,Lettuces,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products,
05/15/2013,05/15/2013,2012-2013,,PO422669,,NON-IT Goods,,Fair and Reasonable,,"Fish and Wildlife, Department of",1746794,BACKCOUNTRY.COM,,,NO,fly creek ultra light tent,tent,5,$272.00,$1360.00,24111508,24111508,Tent bag,24111500,Bags,24110000,Containers and storage,24000000,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,
05/28/2013,04/23/2013,2012-2013,,DRP12284,,NON-IT Goods,,Formal Competitive,,"Education, Department of",40517,Collier Hardware,CA-MB CA-SB,95928,NO,"EnMotion  Paper Towels BR, 800 FT PK/6",Paper Towels br,50,$44.62,$2231.00,14111703,14111703,Paper towels,14111700,Personal paper products,14110000,Paper products,14000000,Paper Materials and Products,"95928
(39.722336, -121.797085)"
05/20/2013,05/20/2013,2012-2013,,4500181403,,IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1755386,"Western Blue, an NWN Company",,,NO,F5 Renewal,F5 renewal,1,$63452.99,$63452.99,81112201,81112201,Maintenance or support fees,81112200,Software maintenance and support,81110000,Computer services,81000000,Engineering and Research and Technology Based Services,
06/02/2014,06/02/2014,2013-2014,7-12-70-26,121400000188,,IT Goods,,WSCA/Coop,,"Transportation, Department of",1738340,Pitney Bowes,,95834,NO,software,software,1,$6912.40,$6912.40,43231517,43231517,,,,,,,,"95834
(38.641743, -121.516646)"
07/17/2013,,2013-2014,,REQ0010689,REQ0010689,IT Goods,,SB/DVBE Option,,"Consumer Affairs, Department of",58066,"Ablegov, Inc.",CA-MB CA-SB,95628,NO,EMC VNX5300 4 Port 8G FC IO Module Pair,EMC VNX5300 4 Port 8G FC IO Module Pair,1,$1195.00,$1195.00,,,,,,,,,,"95628
(38.655104, -121.259702)"
04/15/2014,04/15/2014,2013-2014,,P3872AJD,,NON-IT Goods,,Formal Competitive,,"Conservation Corps, California",15939,GARVEY EQUIPMENT COMPANY,CA-SB,91776,NO,STIHL LOOP 20,STIHL,10,$28.04,$280.40,27112746,27112746,Chain saw,27112700,Power tools,27110000,Hand tools,27000000,Tools and General Machinery,"91776
(34.088541, -118.096234)"
10/23/2013,,2013-2014,,REQ0011351,REQ0011351,NON-IT Goods,,Informal Competitive,,"Consumer Affairs, Department of",25616,"WALKERS OFFICE SUPPLIES, INC.",CA-MB CA-SB,95603,NO,"SWI Stapler, Elect, HD, CTG","SWI Stapler, Elect, HD, CTG",1,$283.52,$283.52,,,,,,,,,,"95603
(38.912397, -121.083667)"
10/22/2013,,2013-2014,1-09-70-03C,REQ0011407,REQ0011407,IT Goods,,Statewide Contract,,"Consumer Affairs, Department of",1087660,Technology Integration Group,MBE,95814,NO,5YR Mission Critical,5YR Mission Critical,1,$2753.15,$2753.15,,,,,,,,,,"95814
(38.580427, -121.494396)"
07/17/2013,,2013-2014,,REQ0010689,REQ0010689,IT Goods,,SB/DVBE Option,,"Consumer Affairs, Department of",58066,"Ablegov, Inc.",CA-MB CA-SB,95628,NO,"EMC VNX5300 DPE, 15X3.5 Drives - 8X600G, 15K","EMC VNX5300 DPE, 15X3.5 Drives - 8X600G, 15K",1,$10150.00,$10150.00,,,,,,,,,,"95628
(38.655104, -121.259702)"
07/16/2013,07/16/2013,2013-2014,,4500190168,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",1748286,COAST CITRUS DISTRIBUTORS,,,NO,BANANAS,BANANAS,192,$14.90,$2860.80,50301702,50301702,Baby bananas,50301700,Bananas,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products,
08/26/2013,08/26/2013,2013-2014,,4500195870,,NON-IT Goods,,Informal Competitive,,Correctional Health Care Services,1017336,THE PRIMARY SOURCE,,95742,NO,Dividers,Dividers,1,$146.15,$146.15,44122010,44122010,Dividers,44122000,Folders and binders and indexes,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,"95742
(38.585855, -121.217204)"
09/11/2013,08/16/2013,2013-2014,,3171461,,NON-IT Goods,,Fair and Reasonable,,"General Services, Department of",1755347,Penske,,,NO,1 Month Class C Truck Rental,1 Month Class C Truck Rental,1,$1866.00,$1866.00,78111808,78111808,Vehicle rental,78111800,Passenger road transportation,78110000,Passenger transport,78000000,Transportation and Storage and Mail Services,
08/02/2013,07/18/2013,2013-2014,,4500190668,,NON-IT Goods,,Informal Competitive,,"Corrections and Rehabilitation, Department of",6523,IBHP INCORPORATED,CA-SB CA-SBE WBE WOSB,98733,NO,hat,hat,1,$995.04,$995.04,53102503,53102503,Hats,53102500,Clothing accessories,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products,"98733
"
08/16/2013,08/15/2013,2013-2014,,13-G0053,,NON-IT Goods,,Informal Competitive,,"Pesticide Regulation, Department of",12214,SUNRISE STATIONERS,CA-MB CA-SB,95621,NO,Post It Flag Refills,flags,8,$3.83,$30.64,55121616,55121616,Self adhesive flags,55121600,Labels,55120000,Signage and accessories,55000000,Published Products,"95621
(38.695315, -121.308889)"
